Review #,Brand,Variety,Style,Country,Stars,Top Ten
2468,Acecook,Dossari Yasai Chanpon,Cup,Japan,4.25,
2427,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,
2562,Binh Tay,Mi Hai Cua,Pack,Vietnam,4,
2576,Ching's Secret,Singapore Curry,Pack,India,3.75,
2460,Daifuku,Katsuo Bowl Udon,Bowl,USA,5,
2426,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0,
2431,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75,
2479,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,
2432,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,
2461,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,
2389,Gefen,Imitation Chicken Flavor,Cup,USA,4,
2472,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,
2403,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,USA,4.75,
2519,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1,
2501,Happy Cook,Toona Paste Noodle,Pack,Taiwan,4,
2388,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,
2573,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,
2507,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4,
2559,Jackpot Teriyaki,Beef Ramen,Pack,USA,5,
2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,
2436,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75,
2478,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5,
2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,
2536,Lele,Instant Noodles Beef,Pack,Ghana,3.5,
2398,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1,
2544,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5,
2414,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5,
2411,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75,
2529,Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,
2440,Master Kong,Roasted Pork Noodle,Pack,China,4.5,
2512,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,
2435,Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5,
2552,MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5,
2418,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,
2580,New Touch,T's Restaurant Tantanmen,Cup,Japan,3.75,
2578,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.25,
2568,Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,4.25,
2514,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,
2548,Ottogi,Plain Instant Noodle No Soup Included,Pack,South Korea,Unrated,
2561,Paldo,Premium Gomtang,Pack,South Korea,4,
2528,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5,
2513,Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps,Can,USA,3.5,
2393,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3,
2518,Samurai Ramen,Umami Ramen,Pack,Japan,4,
2575,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,
2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4,
2412,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,USA,3.25,
2401,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5,
2547,Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4,
2525,Sokensha,Curry Udon,Pack,Japan,3.5,
2417,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,
2522,Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5,
2570,Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,5,
2500,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,
2473,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2,
2564,TRDP,Mario Masala Noodles,Pack,India,3.75,
2482,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,
2531,Uni-President,Pickled Cabbage Beef,Pack,China,4.25,
2423,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,
2464,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2,
2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,
2438,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5,
2416,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25,
2569,Yamachan,Yokohama Tonkotsu Shoyu,Pack,USA,5,
2554,Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,Ghana,3.5,